"id","ref","name","vat","active","customer","supplier","comment","property_account_payable","property_account_receivable","lang","website"
"F001","F001","Montepio Geral",500792615,1,,1,,2211,2111,"pt_PT","www.montepio.pt"
"F002","F002","Lusitânia, Comp Seguros S.A.",501689168,1,,1,,2211,2111,"pt_PT","www.lusitania.pt"
"F003","F003","Municipio do Funchal",511217315,1,,1,,2211,2111,"pt_PT","www.cm-funchal.pt"
"F006","F006","Electricidade da Madeira S.A.",511010435,1,,1,,2211,2111,"pt_PT","www.eem.pt"
"F010","F010","PT Comunicações",504615947,1,,1,,2211,2111,"pt_PT","www.ptcom.pt"
