id,level,code,name,country_id/id
concelho_0501,1,0501,Castelo Branco / Belmonte,base.pt
concelho_0502,1,0502,Castelo Branco / Castelo Branco,base.pt
concelho_0503,1,0503,Castelo Branco / Covilhã,base.pt
concelho_0504,1,0504,Castelo Branco / Fundão,base.pt
concelho_0505,1,0505,Castelo Branco / Idanha-a-Nova,base.pt
concelho_0506,1,0506,Castelo Branco / Oleiros,base.pt
concelho_0507,1,0507,Castelo Branco / Penamacor,base.pt
concelho_0508,1,0508,Castelo Branco / Proença-a-Nova,base.pt
concelho_0509,1,0509,Castelo Branco / Sertã,base.pt
concelho_0510,1,0510,Castelo Branco / Vila de Rei,base.pt
concelho_0511,1,0511,Castelo Branco / Vila Velha de Ródão,base.pt
concelho_0601,1,0601,Coimbra / Arganil,base.pt
concelho_0602,1,0602,Coimbra / Cantanhede,base.pt
concelho_0603,1,0603,Coimbra / Coimbra,base.pt
concelho_0604,1,0604,Coimbra / Condeixa-a-Nova,base.pt
concelho_0605,1,0605,Coimbra / Fiqgueira da Foz,base.pt
concelho_0606,1,0606,Coimbra / Góis,base.pt
concelho_0607,1,0607,Coimbra / Lousã,base.pt
concelho_0608,1,0608,Coimbra / Mira,base.pt
concelho_0609,1,0609,Coimbra / Miranda do Corvo,base.pt
concelho_0610,1,0610,Coimbra / Montemor-o-Velho,base.pt
concelho_0611,1,0611,Coimbra / Oliveira do Hospital,base.pt
concelho_0612,1,0612,Coimbra / Pampilhosa da Serra,base.pt
concelho_0613,1,0613,Coimbra / Penacova,base.pt
concelho_0614,1,0614,Coimbra / Penela,base.pt
concelho_0615,1,0615,Coimbra / Soure,base.pt
concelho_0616,1,0616,Coimbra / Tábua,base.pt
concelho_0617,1,0617,Coimbra / Vila Nova de Poiares,base.pt
concelho_0701,1,0701,Évora / Alandroal,base.pt
concelho_0702,1,0702,Évora / Arraiolos,base.pt
concelho_0703,1,0703,Évora / Borba,base.pt
concelho_0704,1,0704,Évora / Estremoz,base.pt
concelho_0705,1,0705,Évora / Évora,base.pt
concelho_0706,1,0706,Évora / Montemor-o-Novo,base.pt
concelho_0707,1,0707,Évora / Mora,base.pt
concelho_0708,1,0708,Évora / Mourão,base.pt
concelho_0709,1,0709,Évora / Portel,base.pt
concelho_0710,1,0710,Évora / Redondo,base.pt
concelho_0711,1,0711,Évora / Reguengos  Monsaraz,base.pt
concelho_0712,1,0712,Évora / Vendas Novas,base.pt
concelho_0713,1,0713,Évora / Viana do Alentejo,base.pt
concelho_0714,1,0714,Évora / Vila Viçosa,base.pt
concelho_0801,1,0801,Faro / Albufeira,base.pt
concelho_0802,1,0802,Faro / Alcoutim,base.pt
concelho_0803,1,0803,Faro / Aljezur,base.pt
concelho_0804,1,0804,Faro / Castro Marim,base.pt
concelho_0805,1,0805,Faro / Faro,base.pt
concelho_0806,1,0806,Faro / Lagoa,base.pt
concelho_0807,1,0807,Faro / Lagos,base.pt
concelho_0808,1,0808,Faro / Loulé,base.pt
concelho_0809,1,0809,Faro / Monchique,base.pt
concelho_0810,1,0810,Faro / Olhão,base.pt
concelho_0811,1,0811,Faro / Portimão,base.pt
concelho_0812,1,0812,Faro / São Brás de Alportel,base.pt
concelho_0813,1,0813,Faro / Silves,base.pt
concelho_0814,1,0814,Faro / Tavira,base.pt
concelho_0815,1,0815,Faro / Vila do Bispo,base.pt
concelho_0816,1,0816,Faro / Vila Real S. António,base.pt
concelho_0901,1,0901,Guarda / Aguiar da Beira,base.pt
concelho_0902,1,0902,Guarda / Almeida,base.pt
concelho_0903,1,0903,Guarda / Celorico da Beira,base.pt
concelho_0904,1,0904,Guarda / Fig. Castelo Rodrigo,base.pt
concelho_0905,1,0905,Guarda / Fornos de Algodres,base.pt
concelho_0906,1,0906,Guarda / Gouveia,base.pt
concelho_0907,1,0907,Guarda / Guarda,base.pt
concelho_0908,1,0908,Guarda / Manteigas,base.pt
concelho_0909,1,0909,Guarda / Meda,base.pt
concelho_0910,1,0910,Guarda / Pinhel,base.pt
concelho_0911,1,0911,Guarda / Sabugal,base.pt
concelho_0912,1,0912,Guarda / Seia,base.pt
concelho_0913,1,0913,Guarda / Trancoso,base.pt
concelho_0914,1,0914,Guarda / V. Nova de Foz Côa,base.pt
concelho_1001,1,1001,Leiria / Alcobaça,base.pt
concelho_1002,1,1002,Leiria / Alvaiázere,base.pt
concelho_1003,1,1003,Leiria / Ansião,base.pt
concelho_1004,1,1004,Leiria / Batalha,base.pt
concelho_1005,1,1005,Leiria / Bombarral,base.pt
concelho_1006,1,1006,Leiria / Caldas da Rainha,base.pt
concelho_1007,1,1007,Leiria / Castanheira de Pêra,base.pt
concelho_1008,1,1008,Leiria / Figueiró dos Vinhos,base.pt
concelho_1009,1,1009,Leiria / Leiria,base.pt
concelho_1010,1,1010,Leiria / Marinha Grande,base.pt
concelho_1011,1,1011,Leiria / Nazaré,base.pt
concelho_1012,1,1012,Leiria / Óbidos,base.pt
concelho_1013,1,1013,Leiria / Pedrógão Grande,base.pt
concelho_1014,1,1014,Leiria / Peniche,base.pt
